MARKET NAME (FORMAL),MARKET NAME (FOR FILES),location,population
National Capital Region,National_Capital_Region,National_Capital_Region,100
Tidewater,Tidewater,Tidewater,100
San Antonio,San_Antonio,San_Antonio,100
Hawaii,Hawaii,Hawaii,100
San Diego,San_Diego,San_Diego,100
Bragg/Pope,Bragg_Pope,Bragg_Pope,100
Hood,Hood,Hood,100
Colorado Springs,Colorado_Springs,Colorado_Springs,100
Bliss/White Sands,Bliss_White_Sands,Bliss_White_Sands,100
Lejeune/Cherry Point,Lejeune_Cherry_Point,Lejeune_Cherry_Point,100
Lewis/McCord,Lewis_McChord,Lewis_McChord,100
Pensacola/Eglin,Pensacola_Eglin,Pensacola_Eglin,100
Benning,Benning,Benning,100
Jacksonville,Jacksonville,Jacksonville,100
Campbell,Campbell,Campbell,100
