forecast_date,target,target_end_date,location,type,quantile,value
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.01,2.6
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.025,2.9
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.05,3.1
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.1,3.4
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.15,3.6
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.2,3.7
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.25,3.9
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.3,4
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.35,4.1
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.4,4.2
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.45,4.3
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.5,4.5
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.55,4.6
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,point,NA,4.6
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.6,5
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.65,5.3
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.7,5.6
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.75,5.7
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.8,6.3
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.85,6.8
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.9,7.1
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.95,7.3
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.975,7.7
2022-10-05,1 wk ahead CLI pct,2022-10-08,Benning,quantile,0.99,9.1
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.01,2.2
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.025,2.5
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.05,2.8
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.1,3.2
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.15,3.4
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.2,3.6
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.25,3.8
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.3,3.9
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.35,4.1
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.4,4.2
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.45,4.3
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.5,4.5
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,point,NA,4.6
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.55,4.7
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.6,5.1
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.65,5.4
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.7,5.7
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.75,6
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.8,6.6
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.85,7.1
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.9,7.5
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.95,7.8
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.975,8.3
2022-10-05,2 wk ahead CLI pct,2022-10-15,Benning,quantile,0.99,9.7
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.01,2.1
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.025,2.3
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.05,2.5
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.1,2.9
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.15,3.1
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.2,3.4
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.25,3.6
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.3,3.8
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.35,3.9
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.4,4.1
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.45,4.2
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.5,4.4
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,point,NA,4.6
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.55,4.7
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.6,5.2
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.65,5.4
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.7,5.8
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.75,6.1
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.8,6.7
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.85,7.3
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.9,7.7
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.95,8.1
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.975,8.7
2022-10-05,3 wk ahead CLI pct,2022-10-22,Benning,quantile,0.99,10.2
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.01,2
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.025,2.2
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.05,2.4
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.1,2.6
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.15,2.9
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.2,3.2
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.25,3.4
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.3,3.6
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.35,3.8
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.4,4
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.45,4.2
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.5,4.4
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,point,NA,4.5
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.55,4.7
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.6,5.2
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.65,5.5
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.7,5.9
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.75,6.2
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.8,6.8
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.85,7.5
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.9,7.9
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.95,8.5
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.975,9.1
2022-10-05,4 wk ahead CLI pct,2022-10-29,Benning,quantile,0.99,10.7
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.01,5.4
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.025,5.8
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.05,6.1
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.1,6.5
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.15,6.7
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.2,6.9
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.25,7.1
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.3,7.2
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.35,7.4
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.4,7.5
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.45,7.6
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.5,7.8
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.55,7.9
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.6,8.1
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.65,8.4
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.7,8.7
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.75,8.9
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.8,9.1
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.85,9.5
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,point,NA,9.5
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.9,10.4
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.95,11.8
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.975,12.5
2022-10-05,1 wk ahead CLI pct,2022-10-08,Bliss_White_Sands,quantile,0.99,12.9
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.01,3.8
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.025,4.4
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.05,4.8
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.1,5.4
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.15,5.8
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.2,6
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.25,6.3
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.3,6.5
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.35,6.8
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.4,6.9
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.45,7.2
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.5,7.3
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.55,7.5
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.6,7.8
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.65,8.1
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.7,8.5
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.75,8.8
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,point,NA,9
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.8,9.1
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.85,9.5
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.9,10.6
2022-10-05,2 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.95,12.2
