market,epiweek,year,forecast_date,target,target_end_date,location,type,quantile,value
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.2,3.9
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.25,4.1
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.3,4.3
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.35,4.5
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.4,4.8
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.45,5
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,point,NA,5.1
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.5,5.3
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.55,5.5
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.6,5.7
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.65,6.1
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.7,6.4
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.75,6.8
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.8,7.2
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.85,8
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.9,8.6
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.95,9.1
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.975,9.6
Benning,43,2022,2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.99,11.6
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.01,2.3
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.025,2.5
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.05,2.7
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.1,3
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.15,3.4
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.2,3.7
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.25,4
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.3,4.2
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.35,4.4
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.4,4.7
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.45,5
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,point,NA,5.2
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.5,5.3
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.55,5.6
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.6,5.9
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.65,6.2
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.7,6.6
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.75,7.1
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.8,7.5
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.85,8.3
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.9,9
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.95,9.6
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.975,10.1
Benning,44,2022,2022-10-12,4 wk ahead CLI pct,2022-11-05,Benning,quantile,0.99,12.3
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.01,3.4
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.025,3.6
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.05,3.8
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.1,4.1
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.15,4.3
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.2,4.4
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.25,4.6
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.3,4.7
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.35,4.8
