"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.01","2.67353657831925"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.025","2.7246860777543"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.05","2.76867746907725"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.1","2.81939672589284"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.15","2.8536167676761"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.2","2.88081377208804"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.25","2.90414638020629"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.3","2.92509978342105"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.35","2.94451623418084"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.4","2.96294054721303"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.45","2.9807662832945"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.5","2.99830939906504"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.55","3.01585251483557"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.6","3.03367825091705"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.65","3.05210256394923"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.7","3.07151901470902"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.75","3.09247241792378"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.8","3.11580502604203"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.85","3.14300203045397"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.9","3.17722207223723"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.95","3.22794132905282"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.975","3.27193272037577"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","quantile","0.99","3.32308221981082"
"2022-10-13","1 wk ahead CLI pct","2022-10-15","Benning","point",NA,"2.99830939906504"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.01","1.97030139700175"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.025","2.14077267781447"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.05","2.28738738385046"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.1","2.45642475013399"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.15","2.57047345865879"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.2","2.66111575677667"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.25","2.73887877761855"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.3","2.80871237370176"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.35","2.87342360775912"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.4","2.93482824075419"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.45","2.99423793380694"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.5","3.05270570862156"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.55","3.11117348343618"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.6","3.17058317648893"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.65","3.231987809484"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.7","3.29669904354137"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.75","3.36653263962457"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.8","3.44429566046645"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.85","3.53493795858433"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.9","3.64898666710913"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.95","3.81802403339267"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.975","3.96463873942865"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","quantile","0.99","4.13511002024137"
"2022-10-13","2 wk ahead CLI pct","2022-10-22","Benning","point",NA,"3.05270570862156"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.01","0.930120112966185"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.025","1.2566091845745"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.05","1.53740779786353"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.1","1.86115061555056"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.15","2.07957835767153"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.2","2.25317780280893"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.25","2.40211066914913"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.3","2.53585698608638"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.35","2.65979288091449"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.4","2.77739592538878"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.45","2.89117823192661"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.5","3.00315656298168"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.55","3.11513489403676"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.6","3.22891720057458"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.65","3.34652024504888"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.7","3.47045613987699"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.75","3.60420245681423"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.8","3.75313532315443"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.85","3.92673476829184"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.9","4.1451625104128"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.95","4.46890532809983"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.975","4.74970394138886"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","quantile","0.99","5.07619301299718"
"2022-10-13","3 wk ahead CLI pct","2022-10-29","Benning","point",NA,"3.00315656298168"
"2022-10-13","4 wk ahead CLI pct","2022-11-05","Benning","quantile","0.01","-0.207077697265781"
"2022-10-13","4 wk ahead CLI pct","2022-11-05","Benning","quantile","0.025","0.280177935444439"
"2022-10-13","4 wk ahead CLI pct","2022-11-05","Benning","quantile","0.05","0.699244660429458"
"2022-10-13","4 wk ahead CLI pct","2022-11-05","Benning","quantile","0.1","1.18240175567437"
"2022-10-13","4 wk ahead CLI pct","2022-11-05","Benning","quantile","0.15","1.50838555404265"
"2022-10-13","4 wk ahead CLI pct","2022-11-05","Benning","quantile","0.2","1.76746714308906"
"2022-10-13","4 wk ahead CLI pct","2022-11-05","Benning","quantile","0.25","1.98973607742877"
"2022-10-13","4 wk ahead CLI pct","2022-11-05","Benning","quantile","0.3","2.18934044997603"
"2022-10-13","4 wk ahead CLI pct","2022-11-05","Benning","quantile","0.35","2.37430364813914"
"2022-10-13","4 wk ahead CLI pct","2022-11-05","Benning","quantile","0.4","2.54981563560534"
"2022-10-13","4 wk ahead CLI pct","2022-11-05","Benning","quantile","0.45","2.71962551466257"
