forecast_date,target,target_end_date,location,type,quantile,value
2022-10-26,1 wk ahead CLI pct,2022-10-29,Benning,point,NA,5.655
2022-10-26,2 wk ahead CLI pct,2022-11-05,Benning,point,NA,6.145
2022-10-26,3 wk ahead CLI pct,2022-11-12,Benning,point,NA,5.729
2022-10-26,4 wk ahead CLI pct,2022-11-19,Benning,point,NA,6.242
2022-10-26,1 wk ahead CLI pct,2022-10-29,Benning,quantile,0.010,3.812
2022-10-26,2 wk ahead CLI pct,2022-11-05,Benning,quantile,0.010,3.475
2022-10-26,3 wk ahead CLI pct,2022-11-12,Benning,quantile,0.010,2.292
2022-10-26,4 wk ahead CLI pct,2022-11-19,Benning,quantile,0.010,1.849
2022-10-26,1 wk ahead CLI pct,2022-10-29,Benning,quantile,0.025,4.102
2022-10-26,2 wk ahead CLI pct,2022-11-05,Benning,quantile,0.025,3.896
2022-10-26,3 wk ahead CLI pct,2022-11-12,Benning,quantile,0.025,2.834
2022-10-26,4 wk ahead CLI pct,2022-11-19,Benning,quantile,0.025,2.541
2022-10-26,1 wk ahead CLI pct,2022-10-29,Benning,quantile,0.050,4.352
2022-10-26,2 wk ahead CLI pct,2022-11-05,Benning,quantile,0.050,4.257
2022-10-26,3 wk ahead CLI pct,2022-11-12,Benning,quantile,0.050,3.299
2022-10-26,4 wk ahead CLI pct,2022-11-19,Benning,quantile,0.050,3.136
2022-10-26,1 wk ahead CLI pct,2022-10-29,Benning,quantile,0.100,4.64
2022-10-26,2 wk ahead CLI pct,2022-11-05,Benning,quantile,0.100,4.674
2022-10-26,3 wk ahead CLI pct,2022-11-12,Benning,quantile,0.100,3.836
2022-10-26,4 wk ahead CLI pct,2022-11-19,Benning,quantile,0.100,3.822
2022-10-26,1 wk ahead CLI pct,2022-10-29,Benning,quantile,0.150,4.834
2022-10-26,2 wk ahead CLI pct,2022-11-05,Benning,quantile,0.150,4.955
2022-10-26,3 wk ahead CLI pct,2022-11-12,Benning,quantile,0.150,4.198
2022-10-26,4 wk ahead CLI pct,2022-11-19,Benning,quantile,0.150,4.285
2022-10-26,1 wk ahead CLI pct,2022-10-29,Benning,quantile,0.200,4.988
2022-10-26,2 wk ahead CLI pct,2022-11-05,Benning,quantile,0.200,5.179
2022-10-26,3 wk ahead CLI pct,2022-11-12,Benning,quantile,0.200,4.485
2022-10-26,4 wk ahead CLI pct,2022-11-19,Benning,quantile,0.200,4.653
2022-10-26,1 wk ahead CLI pct,2022-10-29,Benning,quantile,0.250,5.121
2022-10-26,2 wk ahead CLI pct,2022-11-05,Benning,quantile,0.250,5.371
2022-10-26,3 wk ahead CLI pct,2022-11-12,Benning,quantile,0.250,4.732
2022-10-26,4 wk ahead CLI pct,2022-11-19,Benning,quantile,0.250,4.968
2022-10-26,1 wk ahead CLI pct,2022-10-29,Benning,quantile,0.300,5.24
2022-10-26,2 wk ahead CLI pct,2022-11-05,Benning,quantile,0.300,5.543
2022-10-26,3 wk ahead CLI pct,2022-11-12,Benning,quantile,0.300,4.954
2022-10-26,4 wk ahead CLI pct,2022-11-19,Benning,quantile,0.300,5.252
2022-10-26,1 wk ahead CLI pct,2022-10-29,Benning,quantile,0.350,5.35
2022-10-26,2 wk ahead CLI pct,2022-11-05,Benning,quantile,0.350,5.702
2022-10-26,3 wk ahead CLI pct,2022-11-12,Benning,quantile,0.350,5.159
2022-10-26,4 wk ahead CLI pct,2022-11-19,Benning,quantile,0.350,5.514
2022-10-26,1 wk ahead CLI pct,2022-10-29,Benning,quantile,0.400,5.454
2022-10-26,2 wk ahead CLI pct,2022-11-05,Benning,quantile,0.400,5.854
2022-10-26,3 wk ahead CLI pct,2022-11-12,Benning,quantile,0.400,5.354
2022-10-26,4 wk ahead CLI pct,2022-11-19,Benning,quantile,0.400,5.764
2022-10-26,1 wk ahead CLI pct,2022-10-29,Benning,quantile,0.450,5.556
2022-10-26,2 wk ahead CLI pct,2022-11-05,Benning,quantile,0.450,6
2022-10-26,3 wk ahead CLI pct,2022-11-12,Benning,quantile,0.450,5.543
