forecast_date,target,target_end_date,location,type,quantile,value
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,point,,2.1266372234606417
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.01,0.0010324652102406962
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.025,0.1147564327573023
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.05,0.39448388355042185
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.1,0.782919587860849
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.15,1.0419384539879255
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.2,1.2545717755598655
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.25,1.429713306125386
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.3,1.5970447357734843
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.35,1.7467534936347784
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.4,1.8736471425910928
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.45,1.9894387134539953
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.5,2.1266372234606417
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.55,2.247802590549301
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.6,2.386227458608074
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.65,2.503643419413118
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.7,2.6531783472904973
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.75,2.8250340192062007
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.8,2.9922042788388
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.85,3.2030306299391036
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.9,3.474476678957486
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.95,3.8312168102625215
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.975,4.204434874383567
2022-10-19,2 wk ahead CLI pct,2022-10-29,Benning,quantile,0.99,4.680211140672268
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,point,,2.1117081639130513
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.01,0.0010324652102406962
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.025,0.0010324652102406962
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.05,0.24666396905151733
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.1,0.6263683526222812
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.15,0.9245653893811958
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.2,1.1753755698976578
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.25,1.3559296927962219
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.3,1.5295593220714707
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.35,1.6768385372483152
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.4,1.824952911756772
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.45,1.9719085709360753
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.5,2.1117081639130513
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.55,2.241721825129651
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.6,2.373638628996022
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.65,2.5123087174178638
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.7,2.6432192884802115
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.75,2.801920521194262
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.8,2.9936445462930203
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.85,3.204114371671703
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.9,3.481553827592368
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.95,3.922735335512269
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.975,4.296383246685625
2022-10-19,3 wk ahead CLI pct,2022-11-05,Benning,quantile,0.99,4.796410626867537
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,point,,2.034848741737787
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.01,0.0010324652102406962
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.025,0.0010324652102406962
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.05,0.15087206445718948
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.1,0.5591014914881032
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.15,0.8347771718769603
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.2,1.0665017760126663
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.25,1.2792422644951555
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.3,1.4440117984777148
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.35,1.592880401026699
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.4,1.7539811591293946
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.45,1.8979641747006992
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.5,2.034848741737787
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.55,2.1789862629558634
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.6,2.308770188980402
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.65,2.465738524520142
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.7,2.6316915005122157
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.75,2.8314801087645503
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.8,3.0160897834406386
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.85,3.2276149392283466
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.9,3.561614286304181
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.95,4.073488099971777
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.975,4.444519046206054
2022-10-19,4 wk ahead CLI pct,2022-11-12,Benning,quantile,0.99,5.003168135506066
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,point,,1.996486505271343
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.01,0.0010324652102406962
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.025,0.0010324652102406962
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.05,0.02991729581096103
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.1,0.4493055827254846
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.15,0.7498790162641082
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.2,1.0054656373949769
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.25,1.1937224393130936
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.3,1.3746169022245658
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.35,1.542096399895473
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.4,1.6904905528728724
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.45,1.8536136091505089
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.5,1.996486505271343
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.55,2.1491213800807847
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.6,2.304690940030688
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.65,2.4764131897199437
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.7,2.643330105336
2022-10-19,5 wk ahead CLI pct,2022-11-19,Benning,quantile,0.75,2.8303879341951106
