forecast_date,target,target_end_date,location,type,quantile,value
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.01,0.0010324652102406972
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.025,0.1596908517743342
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.05,0.44290534134057036
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.1,0.8610254635993405
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.15,1.1917964688298048
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.2,1.4364441546413085
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.25,1.6199449261324197
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.3,1.7934318687882944
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.35,1.934092483262276
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.4,2.0400731629744944
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.45,2.1558509793953324
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,point,,2.287968378161657
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.55,2.399318492173179
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.6,2.511965228982882
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.65,2.618654646568639
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.7,2.7248830475663284
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.75,2.833265958330048
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.8,2.959563958776653
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.85,3.135674400679356
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.9,3.315970909323089
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.95,3.66139215503034
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.975,3.9542088059984657
2022-10-12,1 wk ahead CLI pct,2022-10-15,Benning,quantile,0.99,4.401106265781339
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.01,0.0010324652102406972
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.025,0.006739482728163294
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.05,0.25460524099844434
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.1,0.6763666906578579
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.15,0.9491502034663593
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.2,1.187940053945701
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.25,1.3966019955263709
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.3,1.5864632809267731
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.35,1.726220552779309
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.4,1.8717087078389674
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.45,1.9928755209670517
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,point,,2.12242819122102
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.55,2.2328616759269915
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.6,2.355070966079057
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.65,2.465790555881164
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.7,2.5901315454535023
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.75,2.7227921129720922
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.8,2.869804475828358
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.85,3.0578975338440686
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.9,3.327154937022934
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.95,3.6890489514709985
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.975,3.979837986400722
2022-10-12,2 wk ahead CLI pct,2022-10-22,Benning,quantile,0.99,4.4398455243382795
2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.01,0.0010324652102406972
2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.025,0.0010324652102406972
2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.05,0.0847660834757781
2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.1,0.4465018968825179
2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.15,0.7293679867402149
2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.2,0.9737347166613198
2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.25,1.1874770017695804
2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.3,1.3804815034191673
2022-10-12,3 wk ahead CLI pct,2022-10-29,Benning,quantile,0.35,1.5306017087399528
